landmark,question,ans1,ans2,ans3,ans4,correctans,info,infopic
1,What was Mt. Washington's original name?,Coal Hill,Gold Hill,Mononghela Incline,Steel Hill,1,SomeInterestingInfo,https://placeholdit.imgix.net/~text?txtsize=50&txt=Interesting+thing&w=300&h=200&txttrack=0
2,LEED (Leadership In Energy and Environmental Design) is one of the most popular green building certification systems worldwide. Which one of these Pittsburgh buildings are LEED PLATINUM certified?, All of the choices, Tower at PNC Plaza, Phipps Center for Sustainable Landscapes, David L. Lawrence Convention Center,1,"LEED Platinum is the highest certification a building can receive. The David L Lawrence convention center was the first green convention center! Pittsburgh holds a lot of other firsts for green innovation including the first green radio station, food bank, financial institution, and children‰Ûªs museum.",img/downtown2.png
3,"In 1762, what activity developed from resource discoveries along the south bank of the Monongahela River?",Coal Mining,Gold Mining,Oil Drilling,Steel Milling,1,SomeInterestingInfo,https://placeholdit.imgix.net/~text?txtsize=50&txt=Interesting+thing&w=300&h=200&txttrack=0
4,"Among 1,900 waterways in 2007, the Ohio River ranked __ in the nation for toxic discharges.",First,Fifth,Seventh,Eleventh,1,SomethingInteresting,https://placeholdit.imgix.net/~text?txtsize=50&txt=Interesting+stuff&w=300&h=200&txttrack=0
5,High levels of bromide (a chemical that is dangerous when combined with chlorine used in water treatment processes) have been found in Allegheny River due to what activity?,Marcellus Shale gas drilling,Sailing,Fish Farms,Waste Dumping,1,SomeInterestingInfo,https://placeholdit.imgix.net/~text?txtsize=50&txt=Interesting+thing&w=300&h=200&txttrack=0
6,What type of energy does Pennsylvania produce the most?,Natural Gas,Coal,Nuclear,Crude Oil,1,SomethingInteresting,https://placeholdit.imgix.net/~text?txtsize=50&txt=Interesting+stuff&w=300&h=200&txttrack=0
6,What activity consumes most household energy?,Space heating,"Appliances, electronics, lighting",Water heating,Air conditioning,1,SomeInterestingInfo,https://placeholdit.imgix.net/~text?txtsize=50&txt=Interesting+thing&w=300&h=200&txttrack=0
6,Pennsylvania is the 2nd largest producer (by capacity) of this renewable energy,Wind,Solar,Hydropower,Geothermal,1,SomethingInteresting,https://placeholdit.imgix.net/~text?txtsize=50&txt=Interesting+stuff&w=300&h=200&txttrack=0
6,Which sector emits the greatest amount of greenhouse gases in Allegheny County?,Metals,Power plants,Petroleum and Natural Gas systems,Waste,1,SomeInterestingInfo,https://placeholdit.imgix.net/~text?txtsize=50&txt=Interesting+thing&w=300&h=200&txttrack=0
7,What was Mt. Washington's original name?,Coal Hill,Gold Hill,Mononghela Incine,Steel Hill,1,SomethingInteresting,https://placeholdit.imgix.net/~text?txtsize=50&txt=Interesting+stuff&w=300&h=200&txttrack=0
